N°;FECHA;UBICACIÓN;NÚMERO DE INSPECTORES;NÚMERO DE EFECTIVOS POLICIALES;TOTAL DE PAPELETAS IMPUESTAS;TRANSPORTE PÚBLICO;TRANSPORTE PRIVADO
1;-;AV.JAVIER PRADO CON AV.NAVARRETE;2;7;9;4;5
2;-;AV.PETIT THOUARS CON CA. CHINCHON;4;3;1;0;1
3;-;AV.CAMINO REAL CON AV.CHOQUEHUANCA;4;3;1;0;1
4;-;AV.JAVIER PRADO CON CA.LAS FLORES;4;3;6;4;2
5;-;AV.SALAVERRY CON AV.SANCHEZ CARRION;4;5;7;5;2
6;-;AV.CANAVAL MOREYRA CON AV.REPUBLICA DE PANAMA;3;4;7;4;3
7;-;AV.CANAVAL MOREYRA CON AV.PASEO DE LA REPUBLICA;4;3;5;3;2
8;-;AV.DOS DE MAYO CON AV.ARENALES;2;2;2;1;1
9;-;AV.GUARDIA CIVIL CON AV.GALVEZ BARRENECHEA;2;3;7;1;6
10;-;AV.JAVIER PRADO CON CA.LAS PALMERAS;2;2;5;2;3
11;-;Av. Javier Prado con Av. Navarrete;4;5;12;9;3
12;-;Calle Federico Villarreal con Calle Chinchon;2;3;10;6;4
13;-;Av. Camino Real con Av.Choquehuanca;2;2;0;0;0
14;-;Av. Javier Prado con Av. Las Flores;4;7;17;4;13
15;-;Av. Salaverry con Av. Sanchez Carrion;4;4;12;9;3
16;-;Av. Canaval Moreyra con Paseo de la Republica;4;5;18;1;17
17;-;Av. Canaval Moreyra con Republica de Panamá;2;1;2;1;1
18;-;Av Javier Prado con Av. Las Palmeras;4;5;13;6;7
19;-;Av Javier Prado con Paseo Parodi;2;2;3;1;2
20;-;Av. Javier Prado con Av. Palmeras;5;5;9;2;7
21;-;Av. Javier Prado con Av. Navarrete;2;2;1;1;0
22;-;AV. Carriquiry con Calle Ruiseñores;4;3;11;5;6
23;-;Av. Canaval Moreyra con Av. Paseo de la República;2;2;3;0;3
24;-;AV.CANAVAL MOREYRA CON AV.PASEO DE LA REPUBLICA;6;5;7;4;3
25;-;Av. Carriquirri con Av. Ruiseñores;2;2;3;1;2
26;-;Av. Petit Thouars con Av. Juan de Arona;8;8;24;10;14
27;-;Av. Salaverry con Av. Sanchez Carrion;8;6;7;3;4
28;-;AV. BASADRE CON CA.LAS FLORES;1;2;2;1;1
29;-;AV.JAVIER PRADO CON CA.LAS PALMERAS;1;4;4;1;3
30;-;AV.DOS DE MAYO CON AV.ARENALES;1;2;3;2;1
31;-;CA.CHINCHON CON CA.AUDIENCIA;1;1;4;1;3
32;-;AV.CANAVAL MOREYRA CON AV.PASEO DE LA REPUBLICA;1;1;4;0;4
33;-;AV.CARRIQUIRY CON CA.RUISEÑORES;2;2;4;1;3
34;-;AV.GUARDIA CIVIL CON CA.RICARDO ANGULO;1;2;4;1;3
35;-;AV.GALVEZ BARRENECHEA(CDRA 3);1;1;4;0;4
36;-;AV.SALAVERRY CON AV.SANCHEZ CARRION;1;1;2;0;2
37;-;AV.SALAVERRY CON ALBERTO DEL CAMPO;1;2;6;2;4
38;-;CA.FEDERICO VILLARREAL  CON CA.CHINCHON;1;2;4;1;3
39;-;AV.ARAMBURU CON AV.PETIT THOUARS;1;2;3;1;2
40;-;AV.JAVIER PRADO CON AV.ARENALES;4;4;9;4;5
41;-;AV.BARRENECHEA CON AV.DEL PARQUE NORTE;2;2;5;1;4
42;-;CA.ANDRES REYES CON FELIPE VILLARAN;1;1;3;0;3
43;-;AV.PASEO DE LA REPUBLICA CON AV.CANAVAL MOREYRA;1;1;3;0;3
44;-;AV.JAVIER PRADO ESTE;1;2;2;2;0
45;-;AV.SALAVERRY CON AV SANCHEZ CARRION;1;1;4;3;1
46;-;AV.PEREZ ARANIBAR CON AV.CORONEL PORTILLO;2;3;8;7;1
47;-;AV.PEZET CON AV.PORTILLO;1;1;1;0;1
48;1/19/16;AV.JAVIER PRADO OESTE CON AV.NAVARRETE;1;2;4;0;4
49;1/20/16;AV.JAVIER PRADO OESTE CON AV.NAVARRETE;1;2;4;2;2
50;1/21/16;AV.JAVIER PRADO OESTE CON AV.PASEO PARODI;1;2;2;0;2
51;1/22/16;AV.JAVIER PRADO OESTE CON AV.PASEO PARODI;1;2;4;1;3
52;1/25/16;AV.JAVIER PRADO OESTE CON AV.PASEO PARODI;1;2;2;1;1
53;1/26/16;AV.JAVIER PRADO CON AV.PETIT  THOUARS;1;3;3;1;2
54;1/27/16;AV.JAVIER PRADO CON AV.PETIT THOUARS;1;2;1;0;1
55;1/28/16;AV.JAVIER PRADO CON AV.PETIT THOUARS;1;1;4;0;4
56;2/08/2016;AV.JAVIER PRADO OESTE CON AV.ARENALES;0;1;1;1;0
57;2/09/2016;AV.JAVIER PRADO OESTE CON CALLE PALMERAS;2;1;1;0;1
58;2/10/2016;AV.JAVIER PRADO OESTE CON ARENALES;2;1;1;1;0
59;2/12/2016;AV.JAVIER PRADO OESTE CON CALLE PALMERAS;2;2;5;2;3
60;2/15/16;AV.JAVIER PRADO OESTE CON CALLE PALMERAS;2;2;3;1;2
61;2/16/16;AV.JAVIER PRADO OESTE CON AV.ARENALES;2;2;6;2;4
62;2/17/16;AV.JAVIER PRADO OESTE CON AV.ARENALES;1;2;4;0;4
63;2/19/16;AV.JAVIER PRADO OESTE CON AV.ARENALES;2;2;4;0;4
64;2/22/16;AV.JAVIER PRADO CON CALLE LAS FLORES;2;2;3;2;1
65;3/08/2016;AV.CANAVAL MOREYRA CON AV.REPUBLICA DE PANAMA;1;1;1;0;1
66;3/10/2016;AV.CANAVAL MOREYRA CON AV.REPUBLICA DE PANAMA;1;1;3;1;2
67;3/15/16;AV.CARRIQUIRY  CON CALLE RUISEÑORES;1;1;1;0;1
68;3/21/16;AV.CARRIQUIRY CON CALLE RUISEÑORES;1;1;3;2;1
69;3/22/16;AV.CANAVAL MOREYRA CON AV.REPUBLICA DE PANAMA;1;1;2;1;1
70;3/23/16;AV.CANAVAL MOREYRA CON AV.REPUBLICA DE PANAMA;1;1;2;1;1
71;3/30/16;AV.CAMINO REAL CON CA.CHOQUEHUANCA;1;3;5;2;3
72;3/31/16;AV.MIROQUESADA CON AV PORTILLO;2;2;3;0;3
73;4/01/2016;AV.DOS DE MAYO CON CALLE LAS PALMERAS;2;2;7;0;7
74;4/13/16;AV.REPUBLICA DE PANAMA CON CALLE OROPENDOLAS;1;1;1;1;0
75;4/15/16;AV.CANAVAL MOREYRA CON AV.PABLO CARRIQUIRY;1;1;3;0;3
76;4/18/16;AV.REPUBLICA DE PANAMA CON AV.CANAVAL MOREYRA;1;2;3;1;2
77;4/19/16;AV.REPUBLICA DE PANAMA CON AV.CANAVAL MOREYRA;1;2;2;0;2
78;4/20/16;AV.REPUBLICA DE PANAMA CON AV.CANAVAL MOREYRA;1;2;4;1;3
79;4/22/16;AV.REPUBLICA DE PANAMA CON CALLE TORDILLAS;1;1;1;0;1
80;4/25/16;AV.CANAVAL MOREYRA CON AV.PASEO DE LA REPUBLICA;1;1;1;0;1
81;4/26/16;AV CANAVAL MOREYRA CON AV REPUBLICA DE PANAMA;0;1;1;0;1
82;4/28/16;AV REPUBLICA DE PANAMA CON AV CANAVAL MOREYRA;0;1;1;0;1
83;5/09/2016;AV.GUARDIA CIVIL CON CALLE RICARDO ANGULO;1;1;1;0;1
84;5/12/2016;AV.PARQUE SUR CON AV.GUARDIA CIVIL;1;1;2;0;2
85;5/17/16;AV.PARQUE NORTE CON AV.GUARDIA CIVIL;1;1;1;0;1
86;5/20/16;AV.PARQUE NORTE CON AV.GUARDIA CIVIL;1;2;2;0;2
87;5/25/16;AV.PARQUE NORTE CON AV.BARRENECHEA;1;1;1;0;1
88;6/20/16;AV JAVIER PRADO CON CALLE LAS PALMERAS;1;2;2;0;2
89;6/21/16;AV DOS DE MAYO CON CALLE LAS PALMERAS;1;1;2;0;2
90;6/22/16;AV DOS DE MAYO CON CALLE LAS PALMERAS;1;1;1;0;1
91;6/23/16;AV ARAMBURU CON AV PETIT THOUARS;1;2;1;0;1
92;6/27/16;AV ARAMBURU CON AV PETIT THOUARS;1;2;1;0;1
93;7/07/2016;AV.REPUBLICA DE PANAMA CON CALLE MIGUEL SEMINARIO;1;3;5;3;2
94;7/11/2016;AV.DOS DE MAYO CON CALLE LAS PALMERAS;1;1;1;0;1
95;7/12/2016;AV.DOS DE MAYO CON CALLE LAS PALMERAS;1;1;1;0;1
96;7/14/16;AV.CANAVAL Y MOREYRA CON AV.PASEO DE LA REPUBLICA;1;1;2;0;2
97;7/15/16;AV.CANAVAL Y MOREYRA CON AV.PASEO DE LA REPUBLICA;1;1;3;2;1
98;7/18/16;AV.CANAVAL Y MOREYRA CON AV.PASEO DE LA REPÚBLICA;0;1;1;0;1
99;8/11/2016;AV.CAMINO REAL CON CALLE CHOQUEHUANCA;1;2;6;4;2
100;8/15/16;AV.JAVIER PRADO CON AV.JUAN DE ALIAGA;1;1;2;1;1
101;8/18/16;AV.JAVIER PRADO CON AV.JUAN DE ALIAGA;1;1;1;0;1
102;8/19/16;AV.JUAN DE ARONA CON AV.PETIT THOUARS;1;1;1;0;1
103;8/23/16;AV.JUAN DE ARONA CON AV.PETIT THOUARS;1;1;1;0;1
104;9/21/16;AV. PARQUE NORTE CON AV. BARRENECHEA;1;3;3;2;1
105;9/22/16;CALLE RICARDO ANGULO CON CALLE 41;2;4;3;1;2
106;9/23/16;AV. PARQUE NORTE CON CALLE RICARDO ANGULO;1;2;2;1;1
