at_distrito;Distrito_z;Zona
01;Lima;Lima_Centro
02;Ancon;Lima_norte
03;Ate;Lima_este
04;Barranco;Lima_moderna
05;Breña;Lima_Centro
06;Carabayllo;Lima_norte
07;Chaclacayo;Lima_este
08;Chorrillos;Lima_sur
09;Cieneguilla;Lima_este
10;Comas;Lima_norte
11;El Agustino;Lima_este
12;Independencia;Lima_norte
13;Jesus Maria;Lima_moderna
14;La Molina;Lima_moderna
15;La Victoria;Lima_Centro
16;Lince;Lima_moderna
17;Los Olivos;Lima_norte
18;Lurigancho;Lima_este
19;Lurin;Lima_sur
20;Magdalena del Mar;Lima_moderna
21;Pueblo Libre;Lima_moderna
22;Miraflores;Lima_moderna
23;Pachacamac;Lima_sur
24;Pucusana;Lima_sur
25;Puente Piedra;Lima_norte
26;Punta Hermosa;Lima_sur
27;Punta Negra;Lima_sur
28;Rimac;Lima_Centro
29;San Bartolo;Lima_sur
30;San Borja;Lima_moderna
31;San Isidro;Lima_moderna
32;San Juan de Lurigancho;Lima_este
33;San Juan de Miraflores;Lima_sur
34;San Luis;Lima_Centro
35;San Martin de Porres;Lima_norte
36;San Miguel;Lima_moderna
37;Santa Anita;Lima_este
38;Santa Maria del Mar;Lima_sur
39;Santa Rosa;Lima_norte
40;Santiago de Surco;Lima_moderna
41;Surquillo;Lima_moderna
42;Villa El Salvador;Lima_sur
43;Villa Maria del Triunfo;Lima_sur
