Ubigeo;Distrito;Provincia;Departamento;Poblacion;Superficie;Y;X
010101;Chachapoyas;Chachapoyas;Amazonas;29,171;153.78;-6.2294;-77.8714
010102;Asuncion;Chachapoyas;Amazonas;288;25.71;-6.0317;-77.7122
010103;Balsas;Chachapoyas;Amazonas;1,644;357.09;-6.8375;-78.0214
010104;Cheto;Chachapoyas;Amazonas;591;56.97;-6.2558;-77.7003
010105;Chiliquin;Chachapoyas;Amazonas;687;143.43;-6.0778;-77.7392
010106;Chuquibamba;Chachapoyas;Amazonas;2,064;278.63;-6.9333;-77.8575
010107;Granada;Chachapoyas;Amazonas;379;181.41;-6.0997;-77.6344
010108;Huancas;Chachapoyas;Amazonas;1,329;48.79;-6.1747;-77.8686
010109;La Jalca;Chachapoyas;Amazonas;5,513;380.39;-6.4825;-77.8192
010110;Leimebamba;Chachapoyas;Amazonas;4,206;373.14;-6.6636;-77.8006
010111;Levanto;Chachapoyas;Amazonas;862;77.54;-6.3086;-77.8994
010112;Magdalena;Chachapoyas;Amazonas;782;135.47;-6.3736;-77.9017
010113;Mariscal Castilla;Chachapoyas;Amazonas;986;83.58;-6.5939;-77.8053
010114;Molinopampa;Chachapoyas;Amazonas;2,750;333.86;-6.2056;-77.6683
010115;Montevideo;Chachapoyas;Amazonas;572;119.01;-6.6133;-77.8025
010116;Olleros;Chachapoyas;Amazonas;363;125.16;-6.0239;-77.6761
010117;Quinjalca;Chachapoyas;Amazonas;830;91.59;-6.085;-77.66
010118;San Francisco de Daguas;Chachapoyas;Amazonas;351;47.41;-6.2333;-77.7392
010119;San Isidro de Maino;Chachapoyas;Amazonas;703;101.67;-6.3533;-77.8439
010120;Soloco;Chachapoyas;Amazonas;1,302;84.48;-6.2619;-77.7453
010121;Sonche;Chachapoyas;Amazonas;218;113.26;-6.2183;-77.7753
010201;Bagua;Bagua;Amazonas;26,091;150.99;-5.6389;-78.5319
010202;Aramango;Bagua;Amazonas;10,940;809.07;-5.4156;-78.4361
010203;Copallin;Bagua;Amazonas;6,319;99.05;-5.6733;-78.4228
010204;El Parco;Bagua;Amazonas;1,492;18.48;-5.6247;-78.4764
010205;Imaza;Bagua;Amazonas;24,323;4,430.84;-5.16;-78.2903
010206;La Peca;Bagua;Amazonas;8,048;144.29;-5.6092;-78.4344
010301;Jumbilla;Bongara;Amazonas;1,764;154.18;-5.9006;-77.7958
010302;Chisquilla;Bongara;Amazonas;335;174.96;-5.9003;-77.7839
010303;Churuja;Bongara;Amazonas;269;33.34;-6.0192;-77.9517
010304;Corosha;Bongara;Amazonas;1,046;45.67;-5.8294;-77.84
010305;Cuispes;Bongara;Amazonas;899;110.72;-5.9236;-77.9392
010306;Florida;Bongara;Amazonas;8,663;203.22;-5.8336;-77.9714
010307;Jazan;Bongara;Amazonas;9,349;88.83;-5.9419;-77.9806
010308;Recta;Bongara;Amazonas;201;24.58;-5.9194;-77.7861
010309;San Carlos;Bongara;Amazonas;310;100.76;-5.9636;-77.9447
010310;Shipasbamba;Bongara;Amazonas;1,819;127.29;-5.8744;-78.0692
010311;Valera;Bongara;Amazonas;1,281;90.14;-6.0425;-77.9139
010312;Yambrasbamba;Bongara;Amazonas;8,470;1,715.96;-5.6908;-77.9772
010401;Nieva;Condorcanqui;Amazonas;29,213;4,481.63;-4.5947;-77.8672
010402;El Cenepa;Condorcanqui;Amazonas;9,620;5,458.48;-4.4503;-78.1592
010403;Rio Santiago;Condorcanqui;Amazonas;16,986;8,035.28;-4.0106;-77.7658
010501;Lamud;Luya;Amazonas;2,292;69.49;-6.1308;-77.9503
010502;Camporredondo;Luya;Amazonas;7,131;376.01;-6.2136;-78.3186
010503;Cocabamba;Luya;Amazonas;2517;355.85;-6.6297;-78.0303
010504;Colcamar;Luya;Amazonas;2,263;106.60;-6.3175;-78.0019
010505;Conila;Luya;Amazonas;2,083;256.17;-6.1592;-78.1419
010506;Inguilpata;Luya;Amazonas;587;118.04;-6.2428;-77.9561
010507;Longuita;Luya;Amazonas;1,161;57.91;-6.4147;-77.9681
010508;Lonya Chico;Luya;Amazonas;961;83.82;-6.2328;-77.9564
010509;Luya;Luya;Amazonas;4,420;91.21;-6.165;-77.9469
010510;Luya Viejo;Luya;Amazonas;489;73.87;-6.1275;-78.0847
010511;Maria;Luya;Amazonas;945;80.27;-6.4517;-77.9733
010512;Ocalli;Luya;Amazonas;4,259;177.39;-6.2347;-78.2667
010513;Ocumal;Luya;Amazonas;4,194;235.86;-6.3061;-78.2294
010514;Pisuquia;Luya;Amazonas;6,132;306.50;-6.5114;-78.0747
010515;Providencia;Luya;Amazonas;1,536;71.22;-6.3108;-78.2503
010516;San Cristobal;Luya;Amazonas;685;33.36;-6.0997;-77.9525
010517;San Francisco del Yeso;Luya;Amazonas;821;113.94;-6.5861;-77.8469
010518;San Jeronimo;Luya;Amazonas;880;214.66;-6.0344;-77.9669
010519;San Juan de Lopecancha;Luya;Amazonas;506;88.02;-6.4572;-77.8969
010520;Santa Catalina;Luya;Amazonas;1,908;126.21;-6.1117;-78.0633
010521;Santo Tomas;Luya;Amazonas;3,537;84.93;-6.5617;-77.8739
010522;Tingo;Luya;Amazonas;1,363;102.67;-6.3761;-77.9056
010523;Trita;Luya;Amazonas;1,378;12.68;-6.1519;-77.9806
010601;San Nicolas;Rodriguez de Mendoza;Amazonas;5,290;206.01;-6.3956;-77.4831
010602;Chirimoto;Rodriguez de Mendoza;Amazonas;2,079;153.00;-6.5283;-77.4869
010603;Cochamal;Rodriguez de Mendoza;Amazonas;504;199.44;-6.3933;-77.5889
010604;Huambo;Rodriguez de Mendoza;Amazonas;2,542;99.56;-6.4275;-77.5369
010605;Limabamba;Rodriguez de Mendoza;Amazonas;3,049;317.88;-6.5025;-77.5097
010606;Longar;Rodriguez de Mendoza;Amazonas;1,619;66.24;-6.3853;-77.5461
010607;Mariscal Benavides;Rodriguez de Mendoza;Amazonas;1,376;176.18;-6.3697;-77.5003
010608;Milpuc;Rodriguez de Mendoza;Amazonas;599;26.80;-6.4983;-77.4358
010609;Omia;Rodriguez de Mendoza;Amazonas;9,787;175.13;-6.4686;-77.3947
010610;Santa Rosa;Rodriguez de Mendoza;Amazonas;457;34.11;-6.4542;-77.4539
010611;Totora;Rodriguez de Mendoza;Amazonas;448;6.02;-6.4914;-77.4711
010612;Vista Alegre;Rodriguez de Mendoza;Amazonas;3,803;899.02;-6.1514;-77.3019
010701;Bagua Grande;Utcubamba;Amazonas;54,033;746.64;-5.7558;-78.4428
010702;Cajaruro;Utcubamba;Amazonas;28,491;1,746.23;-5.7364;-78.4267
010703;Cumba;Utcubamba;Amazonas;8,752;292.66;-5.9317;-78.6653
010704;El Milagro;Utcubamba;Amazonas;6,399;313.89;-5.6367;-78.5578
010705;Jamalca;Utcubamba;Amazonas;8,243;357.98;-5.9158;-78.2203
010706;Lonya Grande;Utcubamba;Amazonas;10,443;327.92;-6.0956;-78.4219
010707;Yamon;Utcubamba;Amazonas;2,841;57.61;-6.0525;-78.5322
