title,X,author,journal,keywords,extra.keywords,abstract,publisher,pubdate,pubyear,doi,affil,affil2,doi_methods
"'Await' in the pelagic: dynamic trade-off between reproduction and
survival within a herring school splitting vertically during spawning",11921,"Axelsen, BE
Nottestad, L
Ferno, A
Johannessen, A
Misund, OA",MAR ECOL PROG SER,"CLUPEA-HARENGUS L; NORWEGIAN SEA; FISH SCHOOLS; BEHAVIOR; PREY;
DIMENSIONS; PREDATORS; PALLASI; SONAR; SHAPE",herring; spawning; vertical school split; feeding; await; acoustics,"Spatio-temporal aspects of spawning behaviour were investigated in a single school of Norwegian spring-spawning herring Clupea harengus, and are explained by changes in the relative importance of reproduction, predation and feeding during spawning. Horizontal area, vertical extension, school shape and relative density were quantified using sonar and echosounder, and related to gonad maturation stage and stomach fullness recorded from gillnet samples. The majority of the herring completed spawning within 3 d. During this period, the herring were feeding and predatory fish were present in the area. An extended cylindrical school shape prior to spawning indicated that individual herring within the school had different depth preferences, with ripe individuals descending towards the spawning substrate on the bottom while immature individuals preferred the pelagic environment for safety and feeding. As the majority of the fish matured, the school segregated vertically into a pelagic component that contracted to a tight ball and a demersal component that spread out in a flat layer on the bottom. Post-spawners seemed to return to the pelagic school. After spawning, the 2 components rejoined each other and formed a loose flake (i.e. loose, uneven layer) at the surface. Schooling fish have traditionally been considered to make 1 of 3 behavioural decisions: to stay, join or leave a school. Waiting without losing contact with the rest of the school, 'await', is suggested as a fourth option.",INTER-RESEARCH,NA,2000,103354meps205259,"Marine Res Inst, N-5817 Bergen, Norway./Bergen High Technol Ctr, Dept Fisheries & Marine Biol, N-5020 Bergen, Norway.","Axelsen, BE (reprint author), Marine Res Inst, POB 1870 Nordnes, N-5817 Bergen, Norway.",10_3354_meps205259
'Eavesdropping' in wild rough-toothed dolphins (Steno bredanensis)?,10471,"Goetz, Thomas
Verfuss, Ursula Katharina
Schnitzler, Hans-Ulrich",BIOL LETTERS,BOTTLE-NOSED DOLPHINS; ECHOLOCATION; RECOGNITION,"eavesdropping; echolocation; sonar; synchronized behaviour;
communication","Several authors suggest that dolphins use information obtained by eavesdropping on echoes from sonar signals of conspecifics, but there is little evidence that this strategy is used by dolphins in the wild. Travelling rough-toothed dolphins (Steno bredanensis) either exhibit asynchronous movements or an extremely synchronized swimming behaviour in tight formations, which we expect to facilitate eavesdropping. Therefore, we determined, whether either one or more dolphins were echolocating in subgroups that were travelling with asynchronous and synchronized movements. Since, the number of recording sequences in which more than one animal produced sonar signals was significantly lower during synchronized travel, we conclude that the other members of a subgroup might get information on targets ahead by eavesdropping. Synchronized swimming in tight formations might be an energetic adaptation for travelling in a pelagic dolphin species that facilitates eavesdropping.",ROYAL SOC,MAR 22,2006,101098rsbl20050407,"Univ Tubingen, Inst Zool, D-72076 Tubingen, Germany./German Oceanog Museum, D-18439 Stralsund, Germany.","Gotz, T (reprint author), Univ St Andrews, Sea Mammal Res Unit, Gatty Marine Lab, Sch Biol, East Sands, St Andrews KY16 8LB, Fife, Scotland.",1617177
"'MigrateR': extending model-driven methods for classifying and
quantifying animal movement behavior",1925,"Spitz, Derek B.
Hebblewhite, Mark
Stephenson, Thomas R.",ECOGRAPHY,DIEL VERTICAL MIGRATION; HABITAT; SPACE; SIZE,NA,"To be useful, definitions of animal movement behavior (e.g. migration) should be quantitatively rigorous, flexible enough to accommodate variation in species biology (e.g. latitudinal vs elevational movement) and sufficiently general to allow comparison among different species. Recent studies have applied a model-driven approach to classifying and quantifying animal movement from global positioning system (GPS) location data. We improve upon these methods by 1) revising model structure to provide a simple biologically-defensible basis to reduce misclassification; 2) introducing a data-efficient tool that can be used to quantify and circumvent model sensitivity to starting location; and 3) illustrating how existing models can be adapted to describe short-distance migration, using elevational migration as an example. These improvements are included in 'migrateR', an open source R package that expands and automates model-driven classification and quantification of animal movement behavior. We demonstrate the software and these improved methods using GPS-collar location data from a long-distance migrant, elk Cervus elaphus, and a short-distance elevational migrant, Sierra Nevada bighorn sheep Ovis canadensis sierrae. We provide in-text example code and a supplementary script illustrating how default options can be revised to meet several common challenges in fitting movement models.",WILEY,JUN,2017,101111ecog02587,"[Spitz, Derek B.] Oregon State Univ, Dept Fisheries & Wildlife, Corvallis, OR 97331 USA./[Hebblewhite, Mark] Univ Montana, Coll Forestry & Conservat, Missoula, MT 59812 USA./[Stephenson, Thomas R.] Calif Dept Fish & Wildlife, Sierra Nevada Bighorn Sheep Recovery Program, Sacramento, CA USA.","Spitz, DB (reprint author), Oregon State Univ, Dept Fisheries & Wildlife, Corvallis, OR 97331 USA.",10_1111_ecog_02587
"'Same procedure as last year?' Repeatedly tracked swifts show individual
consistency in migration pattern in successive years",1941,"Wellbrock, A. H. J.
Bauch, C.
Rozman, J.
Witte, K.",J AVIAN BIOL,"POPULATION DECLINES; CLIMATE-CHANGE; APUS-APUS; BIRD; ROUTES;
REPEATABILITY; RESPONSES; RAPTORS",NA,"Individual migration pattern during non-breeding season is still a black box in many migratory birds. However, knowledge on both individual level and population level in migration and overwintering is fundamental to understand the life cycle of these birds and the constraints affecting them. We showed in a highly aerial migrant, the common swift Apus apus, that repeatedly tracked birds breeding at one site in Germany used the same individual-specific migration routes and wintering areas in subsequent years. In contrast, different individuals from the same breeding colony showed diverse movement patterns during non-breeding season suggesting that several suitable areas for overwintering coexist. We found lower variation in timing of autumn and spring migration within than between individuals. Our findings provide first indication of individual consistency but between-individual variation in migration pattern in a small non-passerine bird revealed by geolocators. This supports that swifts have diverse but individual-specific step-by-step' migration patterns revealing high flexibility through individual strategies.",WILEY,JUN,2017,101111jav01251,"[Wellbrock, A. H. J.; Rozman, J.; Witte, K.] Univ Siegen, Inst Biol, Dept Biol & Chem, Res Grp Ecol & Behav Biol, Siegen, Germany./[Bauch, C.] Univ Groningen, Groningen Inst Evolutionary Life Sci, Behav & Physiol Ecol, Groningen, Netherlands.","Wellbrock, AHJ (reprint author), Univ Siegen, Inst Biol, Dept Biol & Chem, Res Grp Ecol & Behav Biol, Siegen, Germany.",10_1111_jav_01251
"'You shall not pass!': quantifying barrier permeability and proximity
avoidance by animals",3685,"Beyer, Hawthorne L.
Gurarie, Eliezer
Boerger, Luca
Panzacchi, Manuela
Basille, Mathieu
Herfindal, Ivar
Van Moorter, Bram
Lele, Subhash R.
Matthiopoulos, Jason",NA,NA,NA,"1. Impediments to animal movement are ubiquitous and vary widely in both scale and permeability. It is essential to understand how impediments alter ecological dynamics via their influence on animal behavioural strategies governing space use and, for anthropogenic features such as roads and fences, how to mitigate these effects to effectively manage species and landscapes.
2. Here, we focused primarily on barriers to movement, which we define as features that cannot be circumnavigated but may be crossed. Responses to barriers will be influenced by the movement capabilities of the animal, its proximity to the barriers, and habitat preference. We developed a mechanistic modelling framework for simultaneously quantifying the permeability and proximity effects of barriers on habitat preference and movement.
3. We used simulations based on our model to demonstrate how parameters on movement, habitat preference and barrier permeability can be estimated statistically. We then applied the model to a case study of road effects on wild mountain reindeer summer movements.
4. This framework provided unbiased and precise parameter estimates across a range of strengths of preferences and barrier permeabilities. The quality of permeability estimates, however, was correlated with the number of times the barrier is crossed and the number of locations in proximity to barriers. In the case study we found that reindeer avoided areas near roads and that roads are semi-permeable barriers to movement. There was strong avoidance of roads extending up to c. 1 km for four of five animals, and having to cross roads reduced the probability of movement by 68.6% (range 3.5-99.5%).
5. Human infrastructure has embedded within it the idea of networks: nodes connected by linear features such as roads, rail tracks, pipelines, fences and cables, many of which divide the landscape and limit animal movement. The unintended but potentially profound consequences of infrastructure on animals remain poorly understood. The rigorous framework for simultaneously quantifying movement, habitat preference and barrier permeability developed here begins to address this knowledge gap.",NA,JAN,2016,1.01111136526561E+018,NA,NA,NA
"""Leading According to Need"" in Self-Organizing Groups",9167,"Conradt, L.
Krause, J.
Couzin, I. D.
Roper, T. J.",AM NAT,"ROACH RUTILUS-RUTILUS; CONSENSUS DECISION-MAKING; WHITE-TAILED DEER;
ANIMAL GROUPS; MULE DEER; INDIVIDUALS; FISH; SEGREGATION; LEADERSHIP;
DEMOCRACY","behavioral synchrony; collective group decisions; democracy and
egalitarianism in animals; public goods experiments; sexual segregation;
social choice theory","Self-organizing-system approaches have shed significant light on the mechanisms underlying synchronized movements by large groups of animals, such as shoals of fish, flocks of birds, or herds of ungulates. However, these approaches rarely consider conflicts of interest between group members, although there is reason to suppose that such conflicts are commonplace. Here, we demonstrate that, where conflicts exist, individual members of self-organizing groups can, in principle, increase their influence on group movement destination by strategically changing simple behavioral parameters (namely, movement speed, assertiveness, and social attraction range). However, they do so at the expense of an increased risk of group fragmentation and a decrease in movement efficiency. We argue that the resulting trade-offs faced by each group member render it likely that group movements are led by those members for which reaching a particular destination is most crucial or group cohesion is least important. We term this phenomenon leading according to ""need"" or ""social indifference,"" respectively. Both kinds of leading can occur in the absence of knowledge of or communication about the needs of other group members and without the assumption of altruistic cooperation. We discuss our findings in the light of observations on fish and other vertebrates.",UNIV CHICAGO PRESS,MAR,2009,101086596532,"[Conradt, L.; Roper, T. J.] Univ Sussex, Dept Biol & Environm Sci, Brighton BN1 9QG, E Sussex, England./[Krause, J.] Univ Leeds, Sch Biol, Ecol & Evolut Grp, Leeds LS2 9JT, W Yorkshire, England./[Couzin, I. D.] Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.","Conradt, L (reprint author), Univ Sussex, Dept Biol & Environm Sci, Brighton BN1 9QG, E Sussex, England.",10_1086_596532
"""M2B"" package in R: Deriving multiple variables from movement data to
predict behavioural states with random forests",714,"Thiebault, Andrea
Dubroca, Laurent
Mullers, Ralf H. E.
Tremblay, Yann
Pistorius, Pierre A.",METHODS ECOL EVOL,CLASSIFICATION,"Cape gannet; fisheries; GPS; local enhancement; machine learning;
onboard observers; social interactions; video cameras","1. The behaviour of individuals affect their distributions and is therefore fundamental in determining ecological patterns. While, the direct observation of behaviour is often limited due to logistical constraints, collection of movement data has been greatly facilitated through the development of bio-logging. Movement data obtained through tracking instrumentation may potentially constitute a relevant proxy to infer behaviour.
2. To infer behaviour from movement data is a key focus within the ""movement ecology"" discipline. Statistical learning constitutes a number of methods that can be used to assess the link between given variables from a fully informed training dataset and then predict the values on a non-informed variable. We chose the random forest algorithm for its high prediction accuracy and its ease of implementation. The strength of random forest partly lies in its ability to handle a very large number of variables. Our methodology is accordingly based on the derivation of multiple predictor variables from movement data over various temporal scales, to capture as much information as possible from changes and variations in movement.
3. The methodology is described in four steps, using examples on foraging seabirds and fishing vessels for illustration. The models showed very high prediction accuracy (92%-97%), thereby confirming the influence of behaviour on movement decisions and demonstrating the ability to derive multiple variables from movement data to predict behaviour with random forests.
4. The codes developed for this methodology are published in the ""M2B"" (Movement to Behaviour) R package, available at https://CRAN.R-project.org/package=m2b. They can be used and adapted to datasets where movement was sampled from a wide range of taxa, sampling schemes or tracking devices. Observations are needed for a subset of the data, but once the model is trained, it can be used on any dataset with similar movement data.",WILEY,JUN,2018,1011112041210X12989,"[Thiebault, Andrea] Nelson Mandela Univ, Dept Zool, Port Elizabeth, South Africa./[Dubroca, Laurent] IFREMER, Datacall Response Unit CREDO, Port En Bessin Huppain, France./[Mullers, Ralf H. E.] Univ Limpopo, Dept Biodivers, Sovenga, South Africa./[Tremblay, Yann] Inst Rech Dev, UMR MARBEC Marine Biodivers Exploitat & Conservat, Sete, France./[Pistorius, Pierre A.] Nelson Mandela Univ, Dept Zool, Percy FitzPatrick Inst, DST NRF Ctr Excellence, Port Elizabeth, South Africa.","Thiebault, A (reprint author), Nelson Mandela Univ, Dept Zool, Port Elizabeth, South Africa.",NA
"""Soft"" harness for external attachment of large radio transmitters to
northern pike (Esox lucius)",12077,"Herke, SW
Moring, JR",FISH RES,HABITAT; MOVEMENTS,northern pike; radio telemetry; attachment,"We developed a ""soft"" harness for dorsally attaching large, external radio transmitters to northern pike (Esox lucius). The key harness component was a soft, flexible, thick-walled tubing that prevented tissue abrasion by the attachment lines which passed through the tubing. Six field-tagged fish (1.5-7.5 kg) were monitored for 45-115 days before tracking was terminated. Tracking patterns of fish indicated no apparent effect of these large, external transmitters on movement behavior; further, the transmitters did not appear to entangle the fish in vegetation. One fish with its transmitter still secure was recaptured after 54 days, and there was minimal tissue erosion under the transmitter. With minor improvements for the attachment lines and the transmitter saddle, the method is suitable for externally attaching large telemetry transmitters to fish. (C) 1999 Elsevier Science B.V. All rights reserved.",ELSEVIER SCIENCE BV,JAN,1999,101016S0165783698001970,"Univ Maine, Dept Sci Biol, Orono, ME 04469 USA.","Herke, SW (reprint author), Louisiana State Univ, Dept Sci Biol, 202 Life Sci Bldg, Baton Rouge, LA 70803 USA.",NA
"""Spraying"" behavior during queen competition in honey bees",11274,"Tarpy, DR
Fletcher, DJC",J INSECT BEHAV,"APIS-MELLIFERA L; COLONIES; VIBRATION; PHEROMONE; RECOGNITION;
HYMENOPTERA; CONFLICT; QUALITY; SIGNAL",aggression; Apis mellifera; queen bees; colony reproduction; polygyny,"In honey bees (Apis mellifera), virgin queens may eject a liquid substance from their abdomens while they are engaged in fatal combat. We investigated the functional significance of ""spraying"" behavior by staging queen ""duels"" within colonies housed in observation hives. Spraying occurred in 39.7% of all interactions between rival queens and was recorded in 12 of 15 duels. Workers were highly attracted to the surfaces and individuals contaminated by spraying, forming tight clusters with hundreds of bees in which movement was severely restricted. One or both queens in a pair became immobilized by the workers in 37.5 and 29.2% of all spraying events, respectively, but the queens were never killed by the workers. Conversely, a mobile queen penetrated the worker aggregation and stung an immobilized queen in one-third of the observed bouts. Thus spraying may serve as a fighting tactic by virgin queens to increase their chances of winning by temporarily immobilizing their rivals.",KLUWER ACADEMIC/PLENUM PUBL,MAY,2003,101023A1024884211098,"Cornell Univ, Dept Neurobiol & Behav, Ithaca, NY 14853 USA./Bucknell Univ, Dept Biol, Lewisburg, PA 17837 USA.","Tarpy, DR (reprint author), Cornell Univ, Dept Neurobiol & Behav, Seeley G Mudd Hall, Ithaca, NY 14853 USA.",NA
"* Influence of the Varied Pitch Shape on Soccer Players Physiological
Responses and Time-Motion Characteristics During Small-Sided Games",401,"Casamichana, David
Bradley, Paul S.
Castellano, Julen",J HUM KINET,"HEART-RATE RESPONSES; INTERMITTENT RECOVERY TEST; ELITE AUSTRALIAN
FOOTBALL; YOUTH SOCCER; PHYSICAL PERFORMANCE; DEMANDS; SPORTS;
ACCELERATION; RELIABILITY; BEHAVIOR",soccer; specific training; GPS; heart rate; pitch dimensions,"The aim of this study was to investigate the effect of pitch shape modifications on heart rate responses and time-motion characteristics in soccer players during 5-a-side small-sided games (SSGs). Players completed four different SSG dimensions: (1) short narrow pitch (SN; 40 x 25 m), (2) short wide pitch (SW; 66 x 25 m), (3) long narrow pitch (LN; 40 x 50 m), and (4) long wide pitch (LW; 66 x 50 m). Twenty amateur soccer players (age: 21 +/- 5 yr; stature: 176.8 +/- 1.9 cm; body mass: 72.7 +/- 3.7 kg) were monitored using a heart rate monitor and a 10 Hz GPS device. Mean maximum heart rate (% HRmax), rating of perceived exertion (RPE), peak running speed, total distance covered (TD), distance covered in four speed categories, number of moderate and high accelerations (Ac), decelerations (Dc), changes of direction (COD) and player load were recorded. Increasing the pitch length had a greater effect compared to increasing the pitch width especially on RPE (3.8, 6.3, 4.9 and 6.6 AU to SN, LN, SW and LW, respectively) and time-motion characteristics such as TD (101, 127, 108 and 131 m.min(-1) to SN, LN, SW and LW, respectively), peak speed (4.8, 6.1, 5.2 and 6.2 m.s(-1) to SN, LN, SW and LW, respectively), and the number of accelerations, decelerations, and changes of direction. The data demonstrates that increasing the length rather than the width of 5-a-side SSG has a greater impact on players' responses in terms of increasing workloads.",DE GRUYTER POLAND SP ZOO,SEP,2018,101515hukin20170192,"[Casamichana, David] Univ Cantabria, Cantabria Univ Sch, Fac Physiotherapy & Speech Therapy Gimbernat, Torrelavega, Spain./[Bradley, Paul S.] Liverpool John Moores Univ, Res Inst Sport & Exercise Sci, Liverpool, Merseyside, England./[Castellano, Julen] Univ Basque Country, UPV EHU, Fac Educ & Sport, Vitoria, Spain.","Castellano, J (reprint author), Univ Basque Country, UPV EHU, Fac Educ & Sport, Dept Phys Educ & Sport, Portal Lasarte 71, Vitoria 01007, Spain.",NA
