"","x"
"1","movement"
"2","data"
"3","species"
"4","individuals"
"5","time"
"6","study"
"7","habitat"
"8","behavior"
"9","behavior"
"10","patterns"
"11","movements"
"12","foraging"
"13","individual"
"14","animals"
"15","activity"
"16","results"
"17","range"
"18","animal"
"19","within"
"20","areas"
"21","model"
"22","fish"
"23","different"
"24","population"
"25","spatial"
"26","home"
"27","prey"
"28","gps"
"29","human"
"30","telemetry"
"31","large"
"32","models"
"33","migration"
"34","distance"
"35","found"
"36","effects"
"37","size"
"38","breeding"
"39","area"
"40","scale"
"41","important"
"42","studies"
"43","selection"
"44","information"
"45","increased"
"46","social"
"47","group"
"48","changes"
"49","birds"
"50","differences"
"51","dispersal"
"52","system"
"53","females"
"54","observed"
"55","across"
"56","behavioral"
"57","body"
"58","compared"
"59","rates"
"60","long"
"61","site"
"62","conditions"
"63","distribution"
"64","populations"
"65","behavioral"
"66","suggest"
"67","response"
"68","showed"
"69","food"
"70","waterbeds"
"71","analysis"
"72","males"
"73","space"
"74","environmental"
"75","similar"
"76","understanding"
"77","potential"
"78","habitats"
"79","associated"
"80","management"
"81","tracking"
"82","sites"
"83","variation"
"84","small"
"85","sea"
"86","day"
"87","rate"
"88","period"
"89","groups"
"90","risk"
"91","moving"
"92","low"
"93","feeding"
"94","level"
"95","new"
"96","conservation"
"97","speed"
"98","locations"
"99","approach"
"100","provide"
"101","acoustic"
"102","season"
"103","days"
"104","methods"
"105","less"
"106","many"
"107","survival"
"108","marine"
"109","landscape"
"110","factors"
"111","motion"
"112","effect"
"113","influence"
"114","likely"
"115","mean"
"116","significantly"
"117","often"
"118","responses"
"119","whether"
"120","behaviors"
"121","interactions"
"122","temporal"
"123","density"
"124","method"
"125","location"
"126","adult"
"127","greater"
"128","number"
"129","although"
"130","ranges"
"131","predators"
"132","tagged"
"133","years"
"134","energy"
"135","dynamics"
"136","environment"
"137","related"
"138","wild"
"139","predation"
"140","strategies"
"141","specific"
"142","resource"
"143","field"
"144","predator"
"145","migratory"
"146","control"
"147","ecology"
"148","seasonal"
"149","rights"
"150","reserved"
"151","winter"
"152","female"
"153","levels"
"154","distances"
"155","temperature"
"156","lower"
"157","year"
"158","scales"
"159","performance"
"160","significant"
"161","present"
"162","natural"
"163","wildlife"
"164","change"
"165","thus"
"166","capture"
"167","behaviors"
"168","average"
"169","daily"
"170","ecological"
"171","including"
"172","findings"
"173","resources"
"174","forest"
"175","male"
"176","structure"
"177","recorded"
"178","spent"
"179","river"
"180","relative"
"181","known"
"182","age"
"183","presence"
"184","research"
"185","due"
"186","satellite"
"187","periods"
"188","evidence"
"189","availability"
"190","depth"
"191","estimates"
"192","ranging"
"193","pattern"
"194","larger"
"195","state"
"196","multiple"
"197","test"
"198","flight"
"199","frequency"
"200","increase"
"201","investigated"
"202","types"
"203","local"
"204","determine"
"205","night"
"206","several"
"207","summer"
"208","will"
"209","highly"
"210","short"
"211","sex"
"212","systems"
"213","tracked"
"214","moved"
"215","swimming"
"216","life"
"217","complex"
"218","sharks"
"219","increasing"
"220","overall"
"221","radio"
"222","studied"
"223","total"
"224","free"
"225","surface"
"226","tags"
"227","active"
"228","success"
"229","collected"
"230","common"
"231","physical"
"232","examined"
"233","little"
"234","quality"
"235","ability"
"236","consistent"
"237","along"
"238","developed"
"239","development"
"240","release"
"241","affect"
"242","parameters"
"243","duration"
"244","per"
"245","tested"
"246","whereas"
"247","four"
"248","observations"
"249","probability"
"250","spawning"
"251","estimated"
"252","suggesting"
"253","mortality"
"254","times"
"255","key"
"256","global"
"257","monitoring"
"258","impact"
"259","measured"
"260","identify"
"261","light"
"262","abundance"
"263","fidelity"
"264","previous"
"265","move"
"266","degrees"
"267","demonstrate"
"268","near"
